Date,NOKOIS1w,NOKOIS1m,NOKOIS3m,NOKOIS6m
25/05/2007,4.15,4.23,4.42,4.63
26/05/2007,4.15,4.23,4.42,4.63
27/05/2007,4.15,4.23,4.42,4.63
28/05/2007,4.2,4.25,4.43,4.64
29/05/2007,4.25,4.27,4.44,4.65
30/05/2007,4.25,4.28,4.45,4.65
31/05/2007,4.25,4.3,4.46,4.66
01/06/2007,4.25,4.31,4.47,4.67
02/06/2007,4.25,4.31,4.47,4.67
03/06/2007,4.25,4.31,4.47,4.67
04/06/2007,4.25,4.32,4.48,4.67
05/06/2007,4.25,4.33,4.48,4.68
06/06/2007,4.25,4.34,4.49,4.68
07/06/2007,4.25,4.35,4.5,4.69
08/06/2007,4.25,4.36,4.51,4.69
09/06/2007,4.25,4.36,4.51,4.69
10/06/2007,4.25,4.36,4.51,4.69
11/06/2007,4.25,4.37,4.52,4.7
12/06/2007,4.25,4.39,4.52,4.71
13/06/2007,4.25,4.4,4.53,4.72
14/06/2007,4.25,4.41,4.54,4.72
15/06/2007,4.25,4.42,4.55,4.73
16/06/2007,4.25,4.42,4.55,4.73
17/06/2007,4.25,4.42,4.55,4.73
18/06/2007,4.25,4.43,4.55,4.74
19/06/2007,4.25,4.44,4.56,4.75
20/06/2007,4.3,4.45,4.57,4.75
21/06/2007,4.35,4.47,4.58,4.76
22/06/2007,4.4,4.48,4.58,4.77
23/06/2007,4.4,4.48,4.58,4.77
24/06/2007,4.4,4.48,4.58,4.77
25/06/2007,4.45,4.49,4.59,4.78
26/06/2007,4.5,4.5,4.6,4.78
27/06/2007,4.5,4.5,4.61,4.79
28/06/2007,4.5,4.5,4.63,4.84
29/06/2007,4.5,4.5,4.63,4.85
30/06/2007,4.5,4.5,4.63,4.85
01/07/2007,4.5,4.5,4.63,4.85
02/07/2007,4.5,4.5,4.64,4.85
03/07/2007,4.5,4.5,4.65,4.86
04/07/2007,4.5,4.5,4.65,4.86
05/07/2007,4.5,4.5,4.66,4.87
06/07/2007,4.5,4.5,4.66,4.88
07/07/2007,4.5,4.5,4.66,4.88
08/07/2007,4.5,4.5,4.66,4.88
09/07/2007,4.5,4.5,4.67,4.88
10/07/2007,4.5,4.5,4.68,4.89
11/07/2007,4.5,4.5,4.68,4.89
12/07/2007,4.5,4.5,4.69,4.9
13/07/2007,4.5,4.5,4.7,4.9
14/07/2007,4.5,4.5,4.7,4.9
15/07/2007,4.5,4.5,4.7,4.9
16/07/2007,4.5,4.51,4.7,4.91
17/07/2007,4.5,4.52,4.71,4.89
18/07/2007,4.5,4.53,4.71,4.9
19/07/2007,4.5,4.53,4.72,4.9
20/07/2007,4.5,4.54,4.73,4.91
21/07/2007,4.5,4.54,4.73,4.91
22/07/2007,4.5,4.54,4.73,4.91
23/07/2007,4.5,4.55,4.73,4.91
24/07/2007,4.5,4.56,4.74,4.92
25/07/2007,4.5,4.57,4.75,4.92
26/07/2007,4.5,4.58,4.75,4.93
27/07/2007,4.48,4.59,4.75,4.95
28/07/2007,4.48,4.59,4.75,4.95
29/07/2007,4.48,4.59,4.75,4.95
30/07/2007,4.5,4.59,4.76,4.94
31/07/2007,4.5,4.6,4.77,4.95
01/08/2007,4.5,4.61,4.78,4.95
02/08/2007,4.5,4.62,4.79,4.96
03/08/2007,4.5,4.63,4.79,4.96
04/08/2007,4.5,4.63,4.79,4.96
05/08/2007,4.5,4.63,4.79,4.96
06/08/2007,4.5,4.64,4.8,4.97
07/08/2007,4.5,4.64,4.81,4.98
08/08/2007,4.54,4.65,4.82,4.98
09/08/2007,4.57,4.66,4.82,4.99
10/08/2007,4.61,4.67,4.83,4.99
11/08/2007,4.61,4.67,4.83,4.99
12/08/2007,4.61,4.67,4.83,4.99
13/08/2007,4.65,4.68,4.84,5
14/08/2007,4.69,4.69,4.85,5
15/08/2007,4.69,4.69,4.85,5.01
16/08/2007,4.75,4.75,4.86,5.04
17/08/2007,4.75,4.75,4.87,5.04
18/08/2007,4.75,4.75,4.87,5.04
19/08/2007,4.75,4.75,4.87,5.04
20/08/2007,4.75,4.75,4.87,5.05
21/08/2007,4.75,4.75,4.87,5.05
22/08/2007,4.75,4.75,4.88,5.05
23/08/2007,4.75,4.75,4.88,5.06
24/08/2007,4.75,4.75,4.88,5.06
25/08/2007,4.75,4.75,4.88,5.06
26/08/2007,4.75,4.75,4.88,5.06
27/08/2007,4.75,4.76,4.89,5.06
28/08/2007,4.75,4.77,4.89,5.07
29/08/2007,4.75,4.78,4.9,5.07
30/08/2007,4.75,4.8,4.9,5.08
31/08/2007,4.75,4.81,4.9,5.08
01/09/2007,4.75,4.81,4.9,5.08
02/09/2007,4.75,4.81,4.9,5.08
03/09/2007,4.75,4.81,4.91,5.06
04/09/2007,4.75,4.83,4.91,5.06
05/09/2007,4.75,4.84,4.91,5.06
06/09/2007,4.75,4.85,4.92,5.07
07/09/2007,4.75,4.86,4.92,5.07
08/09/2007,4.75,4.86,4.92,5.07
09/09/2007,4.75,4.86,4.92,5.07
10/09/2007,4.75,4.87,4.93,5.07
11/09/2007,4.75,4.89,4.94,5.08
12/09/2007,4.75,4.9,4.94,5.08
13/09/2007,4.75,4.91,4.95,5.09
14/09/2007,4.75,4.92,4.96,5.09
15/09/2007,4.75,4.92,4.96,5.09
16/09/2007,4.75,4.92,4.96,5.09
17/09/2007,4.75,4.93,4.96,5.09
18/09/2007,4.75,4.94,4.97,5.1
19/09/2007,4.8,4.95,4.97,5.1
20/09/2007,4.85,4.97,4.98,5.1
21/09/2007,4.9,4.98,4.99,5.11
22/09/2007,4.9,4.98,4.99,5.11
23/09/2007,4.9,4.98,4.99,5.11
24/09/2007,4.95,4.99,4.99,5.11
25/09/2007,5,5,5,5.12
26/09/2007,5,5,5.01,5.12
27/09/2007,5,5,5.04,5.12
28/09/2007,5,5,5.05,5.12
29/09/2007,5,5,5.05,5.12
30/09/2007,5,5,5.05,5.12
01/10/2007,5,5,5.06,5.12
02/10/2007,5,5,5.06,5.13
03/10/2007,5,5,5.07,5.13
04/10/2007,5,5,5.07,5.13
05/10/2007,5,5,5.07,5.13
06/10/2007,5,5,5.07,5.13
07/10/2007,5,5,5.07,5.13
08/10/2007,5,5,5.07,5.13
09/10/2007,5,5,5.05,5.14
10/10/2007,5,5,5.05,5.14
11/10/2007,5,5,5.05,5.14
12/10/2007,5,5,5.05,5.14
13/10/2007,5,5,5.05,5.14
14/10/2007,5,5,5.05,5.14
